seller_id,date,price,original_price,is_on_sale,daily_views,daily_purchases,cart_adds,cart_completions,repeat_purchases,returns,stock_available,unanswered_questions
competitor,2024-10-01,1749.0,1999.0,False,676,26,93,28,8,0,True,2
competitor,2024-10-02,1749.0,1999.0,False,659,31,82,31,6,2,True,1
competitor,2024-10-03,1749.0,1999.0,False,684,30,99,26,6,2,True,0
competitor,2024-10-04,1749.0,1999.0,False,605,34,97,31,6,2,True,1
competitor,2024-10-05,1749.0,1999.0,False,614,30,97,32,6,0,True,0
competitor,2024-10-06,1749.0,1999.0,False,620,33,83,28,6,0,True,0
competitor,2024-10-07,1749.0,1999.0,False,680,32,82,35,7,0,True,0
competitor,2024-10-08,1749.0,1999.0,False,626,34,97,26,9,1,True,2
competitor,2024-10-09,1749.0,1999.0,False,677,33,99,30,9,1,True,2
competitor,2024-10-10,1749.0,1999.0,False,656,28,97,33,9,1,True,1
competitor,2024-10-11,1749.0,1999.0,False,696,29,96,35,5,0,True,0
competitor,2024-10-12,1749.0,1999.0,False,711,36,82,28,9,0,True,2
competitor,2024-10-13,1749.0,1999.0,False,616,34,98,32,7,0,True,1
competitor,2024-10-14,1749.0,1999.0,False,649,28,91,35,5,0,True,2
competitor,2024-10-15,1749.0,1999.0,False,625,34,88,31,6,0,True,2
competitor,2024-10-16,1749.0,1999.0,False,699,33,91,35,8,0,True,1
competitor,2024-10-17,1749.0,1999.0,False,647,36,87,29,7,1,True,0
competitor,2024-10-18,1749.0,1999.0,False,678,34,98,27,8,2,True,2
competitor,2024-10-19,1749.0,1999.0,False,616,33,88,36,7,1,True,0
competitor,2024-10-20,1749.0,1999.0,False,627,35,89,26,9,1,True,1
competitor,2024-10-21,1749.0,1999.0,False,602,31,80,32,6,2,True,2
competitor,2024-10-22,1749.0,1999.0,False,634,34,82,28,8,2,True,2
competitor,2024-10-23,1749.0,1999.0,False,677,28,97,31,6,0,True,0
competitor,2024-10-24,1749.0,1999.0,False,701,34,83,33,5,2,True,1
competitor,2024-10-25,1749.0,1999.0,False,639,36,96,32,9,2,True,2
competitor,2024-10-26,1749.0,1999.0,False,662,26,99,27,8,2,True,2
competitor,2024-10-27,1749.0,1999.0,False,676,31,87,31,7,0,True,2
competitor,2024-10-28,1749.0,1999.0,False,686,26,100,27,6,2,True,0
competitor,2024-10-29,1749.0,1999.0,False,690,30,98,29,6,2,True,1
competitor,2024-10-30,1749.0,1999.0,False,701,26,89,29,8,2,True,1
competitor,2024-10-31,1749.0,1999.0,False,707,30,81,28,6,2,True,0
competitor,2024-11-01,1749.0,1999.0,False,610,32,85,34,8,2,True,2
competitor,2024-11-02,1749.0,1999.0,False,618,29,98,32,7,0,True,0
competitor,2024-11-03,1749.0,1999.0,False,713,27,90,33,6,0,True,2
competitor,2024-11-04,1749.0,1999.0,False,718,27,82,32,6,2,True,1
competitor,2024-11-05,1749.0,1999.0,False,660,29,97,31,9,1,True,2
competitor,2024-11-06,1749.0,1999.0,False,677,31,85,33,6,2,True,0
competitor,2024-11-07,1749.0,1999.0,False,618,32,94,33,7,1,True,2
competitor,2024-11-08,1749.0,1999.0,False,648,31,82,35,9,0,True,0
competitor,2024-11-09,1749.0,1999.0,False,662,34,97,26,8,2,True,1
competitor,2024-11-10,1749.0,1999.0,False,614,30,86,27,7,0,True,0
competitor,2024-11-11,1740.67,1999.0,False,601,29,71,26,6,0,True,0
competitor,2024-11-12,1732.33,1999.0,False,573,29,85,25,7,0,True,1
competitor,2024-11-13,1724.0,1999.0,False,599,28,83,28,7,0,True,0
